ITEM,Cotizacion 1,Cotizacion 2
1,1117248,1246600
2,875616,810300
49,194112,173000
6,359040,370800
7,65952,74300
8,109344,120000
9,165888,169200
158,264351,305200
11,929088,973500
12,90336,85700
13,290000,260000
14,270000,249500
15,270000,249500
16,479000,424000
17,350000,300000
18,428000,398000
19,437000,450000
20,390000,300000
21,290000,232000
22,290000,232000
23,85000,65000
24,340000,297000
25,60000,45000
26,435744,398000
492,233775,268896
257,453311,412608
29,284928,167900
441,230892,265248
5,287808,300100
32,290880,346900
33,1118016,1223800
34,19584,20700
35,7488,6900
36,132288,142700
37,21120,25000
38,14400,18000
39,1351680,1210000
40,1312608,1311100
41,544608,475800
42,495744,787900
43,660320,724100
44,606528,848400
45,773184,658300
46,64512,96600
47,285792,327100
48,264960,201700
80,1474368,1388925
50,70176,94800
51,111744,178500
99,265728,251970
53,91296,93400
307,303052,338592
371,314409,342144
56,323520,307000
57,410304,417400
58,206208,254800
59,419616,407100
60,205632,234200
61,272640,244000
62,450048,407573
397,224428,264480
463,383074,420960
65,606528,563246
66,613344,545126
67,839424,753733
68,614592,528523
69,417504,384632
70,550944,517455
71,324384,302154
72,338304,335270
73,1111296,1035177
74,1232448,1151486
75,1517376,1303679
76,670944,624570
77,238176,217711
78,45008,50076
79,242208,225209
264,2160762,2322048
369,2160762,2322048
82,161568,151657
83,44544,51772
84,50400,45078
85,237120,220478
86,271200,252167
87,138432,128717
88,406560,378027
89,151200,140588
90,263808,252803
266,2160762,2322048
92,736512,709475
93,694368,640470
94,664512,642598
95,711360,684038
96,596256,558330
97,427968,424668
98,494688,476098
437,487644,476640
461,237881,261408
101,70656,67895
102,161760,160025
103,49152,48378
104,268896,259093
105,433824,418008
106,117120,112850
107,355584,453558
108,437184,421245
109,570048,549265
110,131424,126633
111,718798,846300
498,1980364,2248704
54,1883904,2086400
114,1220332,1398200
115,742647,846400
116,284007,331100
117,235697,272900
118,434441,499100
119,382724,437000
120,516647,590300
121,647250,750300
122,257537,296100
123,306284,360100
124,355380,404600
125,933966,1040500
126,827911,947800
127,624362,716400
128,243647,274000
129,733300,847200
130,512017,586100
131,1288298,1492300
132,951350,1012400
133,547136,631800
134,701763,806400
135,968560,1114600
136,749898,847200
137,428239,495200
138,796898,900300
139,393819,472100
140,414698,472200
141,299208,342800
142,299645,343700
143,318515,347300
144,529227,607700
145,434354,488500
146,528091,591300
147,609249,705400
148,234474,253400
149,376172,426500
150,225826,261500
151,216216,247600
152,315894,361600
153,312312,357000
154,536128,600800
155,338345,402100
156,1016870,1165700
157,304974,360600
262,1783367,1957920
159,64297,75200
160,150172,163900
313,1796384,1973952
162,279203,321300
377,1715576,1884096
163,1779348,2043700
55,2186112,1957000
166,626196,699840
167,1096368,1250496
168,1535964,1505472
169,830881,914400
170,511580,561792
171,271515,300960
172,625410,695328
173,328998,375648
174,787114,866976
175,523024,574656
176,693289,761760
177,287327,313248
178,160218,174336
179,422910,458976
180,796286,941856
181,1128691,1239840
182,955282,1018944
183,325591,359424
184,220759,234432
185,1066491,1199424
186,372416,412608
187,642970,707328
188,734173,807264
189,1233436,1296576
190,651269,687744
191,296762,300864
192,1285677,1413984
193,317990,342624
194,318777,345600
195,258061,282336
196,317117,348576
197,177865,194304
198,532284,594912
199,431995,483936
200,464144,553632
201,175157,184416
202,839093,901152
203,505203,549408
204,1137602,1254720
205,388577,450528
206,268981,294240
207,1095494,1199808
208,386917,431328
209,537439,592992
210,228708,251136
211,774010,848640
212,634234,739872
213,212722,204000
214,589505,650016
215,836647,920832
216,746404,829248
217,161529,173184
218,246268,271488
219,166246,185088
220,255703,281088
221,481354,515520
222,395391,429504
223,643057,706272
224,336074,368448
225,64297,70368
226,252820,279936
227,518394,565728
228,508610,567648
229,693551,761280
230,503281,543456
231,490788,537888
232,569150,620544
233,588457,645600
234,922172,1008672
235,421774,452544
236,416795,506016
237,285405,311904
238,284794,314592
239,251247,276480
240,626022,690816
241,626109,689472
242,909854,997824
243,800654,880224
244,185291,196704
245,326639,352704
246,633709,695904
247,252121,283008
248,207829,232992
249,240677,264960
250,293879,322848
251,465192,502560
252,1204083,1304832
253,804498,853248
254,326552,358368
255,1098814,1272384
256,322970,354624
497,1899643,1978560
258,73208,75168
259,149386,159840
447,1920000,1873000
261,57221,63840
314,3500000,3800000
263,3500000,3800000
265,6900000,6200000
112,1920000,1873000
30,3689000,3400000
267,867572,881664
268,446322,499296
269,346994,407232
270,577624,635616
271,633185,696672
272,1239027,1353984
273,1117509,1235904
274,825727,952704
275,326202,377856
276,797859,906048
277,379492,416448
278,422910,478464
279,180748,163680
280,774971,852096
281,677040,747072
282,457679,502560
283,379055,401376
284,705694,763584
285,467813,527232
286,473142,510528
287,298946,328512
288,552989,554400
289,515249,565344
290,498389,553056
291,303751,335136
292,660616,720960
293,779339,855744
294,265225,301248
295,409456,450048
296,443527,478752
297,253431,279648
298,220322,242112
299,392858,423552
300,203199,246144
301,315981,284064
302,669265,735456
303,766060,847488
304,975636,1063104
305,860147,936960
306,1004028,992544
164,1920000,1873000
308,71897,76032
309,164149,167712
411,3100000,2900000
165,1920000,1873000
312,63074,60288
410,3100000,2900000
113,1920000,1873000
315,834550,913920
316,847479,932736
317,178564,213216
318,384471,471456
319,489216,520320
320,639563,685248
321,602260,670368
322,1419163,1584768
323,505727,572160
324,1193687,1276992
325,1034342,1131360
326,802664,884544
327,244433,244512
328,598241,660096
329,407884,438528
330,273175,314784
331,200841,194976
332,602085,660576
333,963668,1038432
334,273437,300576
335,420376,451104
336,1118383,1220064
337,977908,1058880
338,593786,737088
339,389626,427584
340,691891,763104
341,77925,84288
342,440819,466368
343,909156,1000224
344,457242,504288
345,448768,493344
346,266361,298368
347,426055,526560
348,253519,243360
349,491837,544512
350,497428,544896
351,822145,905664
352,818126,901728
353,215954,240960
354,506688,631392
355,340879,376896
356,196560,216384
357,202064,222720
358,181796,205824
359,1421522,1528992
360,744569,814944
361,217352,215616
362,380802,384960
363,670837,735552
364,1259032,1367040
365,1067539,1161216
366,1185388,1307040
367,1263488,1382112
368,496467,492384
31,3689000,3400000
91,3000000,2950000
28,4112640,4900000
372,94611,88032
373,171313,160224
27,4680270,5200000
63,2125207,2348736
376,378444,415296
394,2125207,2348736
378,175768,186528
379,326464,399456
380,89719,95808
381,582342,711168
382,665945,649152
383,606453,749568
384,228621,255072
385,250985,263136
386,821271,987552
387,412339,454656
388,727621,798816
389,305673,341472
390,670925,737184
391,1419775,1563072
392,361583,383616
393,2125207,2348736
64,2125207,2348736
395,234474,229152
396,47262,53856
446,1920000,1873000
370,1913533,2104128
399,80895,83520
400,145716,158592
401,48747,55104
402,1101610,1229952
403,244695,268896
404,394780,433824
405,106579,117120
406,50581,55584
407,397837,437184
408,518744,570048
409,119596,131424
398,1757421,1939968
81,104256,115416
412,316418,348672
413,579109,636960
414,172973,193152
415,137854,151488
416,231679,253824
417,199792,213216
418,424657,455232
419,1324116,1459584
420,491749,599328
421,292394,303168
422,862767,993888
423,824067,878496
424,476898,506304
425,816204,951840
426,706131,770208
427,420551,468960
428,908806,938304
429,614141,707136
430,382113,416736
431,1403176,1540704
432,897537,988128
433,1132972,1140192
434,833414,1058976
435,503281,552960
436,235785,271584
52,993888,1194200
438,1034779,984576
439,204073,225600
440,65083,74592
374,1715052,1885632
466,1804596,1983072
443,68403,71712
444,172973,165504
445,59492,67584
495,818126,534720
311,1801975,1943520
448,1420037,1707360
449,953098,1114272
450,78624,75072
451,965241,1087776
452,203549,232320
453,830619,926880
454,1422658,1574304
455,1061249,1191552
456,511143,558528
457,772088,848352
458,288113,321696
459,594048,652800
460,146765,161280
375,1715576,1885152
462,54775,60192
100,2031360,1948235
464,64472,70848
465,303314,333312
442,576663,654912
467,50232,55200
468,1831852,2013024
469,435140,484224
470,683243,856320
471,770952,889536
472,379492,582720
473,241987,274944
474,330308,362208
475,1242696,1385664
476,983848,1100928
477,949691,1131264
478,365689,419424
479,379492,417984
480,625148,690432
481,542156,598176
482,218051,234912
483,288463,303840
484,119159,129120
485,541545,559392
486,846606,959328
487,509484,563808
488,546262,611520
489,28217,31584
490,332317,368448
491,602347,662400
10,770016,694100
493,64734,75552
494,105356,118656
161,1771661,2014200
496,86574,95328
310,1801625,1976448
260,236833,309984
