id,Cotizacion 2,Cotizacion 1
1,1800000,860000
2,900000,980000
3,900000,790000
4,900000,880000
5,900000,1200000
6,900000,770000
7,900000,330000
8,900000,640000
9,520000,830000
10,520000,550000
11,900000,880000
12,1200000,640000
13,900000,460000
14,2870000,2200000
15,1870000,1345000
16,1980000,2700000
17,1480000,1890000
18,345000,480000
19,1870000,1645000
20,1270000,3480000
21,2930000,7890000
22,27800,1756000
23,8500,1756000
24,147800,1780000
25,27800,1756000
26,19800,1756000
27,1280000,1890000
28,1980000,2380000
29,1160000,1890000
30,590000,490000
31,870000,890000
32,790000,980000
33,1800000,750000
34,1870000,2500000
35,387500,1678000
36,690000,890000
37,670000,890000
38,1850000,780000
39,670000,350000
40,475000,480000
41,620000,890000
42,410000,320000
43,320000,550000
44,3890000,5400000
45,1340000,1100000
46,1920000,1200000
47,1380000,5900000
48,680000,2700000
49,3450000,15600000
50,320000,680000
51,870000,730000
52,3200000,3800000
53,670000,2500000
54,970000,790000
55,890000,1780000
56,1300000,550000
57,480000,770000
58,1850000,770000
59,1550000,1378570
60,950000,756980
61,870000,289000
62,280000,456323
63,670000,467907
64,480000,567223
65,860000,557890
66,1240000,689432
67,320000,498000
68,380000,756980
69,430000,657890
70,980000,4768988
71,1450000,890776
72,850000,677000
73,480000,256000
74,1300000,789000
75,650000,578999
76,1540000,3567666
77,950000,3444670
78,690000,756000
79,870000,1200667
80,1470000,1050000
81,1300000,787000
82,850000,456000
83,1680000,798000
84,480000,980000
85,480000,980000
86,380000,344000
87,380000,355789
88,970000,299777
89,670000,658000
90,970000,458000
91,965000,555000
92,1020000,657000
93,590000,234000
94,470000,488000
95,580000,238000
96,420000,230000
97,410000,344000
98,390000,455500
99,1380000,548000
100,4300000,3300000
101,850000,348000
102,1280000,1500000
103,380000,700000
104,1280000,670000
105,1920000,4560000
107,6400000,3670000
108,3200000,6790000
109,1340000,2700000
112,1350000,900000
113,650000,570000
114,340000,460000
115,980000,678000
116,870000,344677
117,980000,1222990
118,670000,570000
119,880000,788999
120,360000,346000
121,370000,170000
122,520000,689000
123,3380000,788223
124,1430000,1300000
125,3980000,3450000
126,2980000,980000
127,850000,345000
128,480000,228000
129,1300000,2450000
130,650000,400000
131,840000,700000
132,950000,800000
133,4690000,13450000
134,3870000,3300000
135,1470000,2800000
136,1300000,670000
137,850000,290000
138,1680000,1400000
139,380000,680000
140,380000,709000
141,380000,279000
142,380000,788000
143,270000,190000
144,670000,790000
145,970000,456000
146,2965000,2600000
147,5020000,344000
148,590000,178000
149,970000,2500000
150,580000,2200000
151,1420000,1700000
152,410000,1900000
153,390000,290000
154,1380000,1500000
155,480000,700000
156,680000,680000
157,290000,267000
158,980000,980000
159,1480000,670000
160,680000,190000
161,870000,640000
162,1680000,900000
163,850000,2300000
164,180000,500000
165,280000,800000
166,180000,500000
167,320000,380000
168,580000,780000
169,480000,690000
170,850000,700000
171,420000,560000
172,80000,98000
173,320000,350000
174,640000,789000
175,630000,870000
176,870000,1200000
177,620000,980000
178,610000,890000
179,710000,879999
180,740000,768000
181,1640000,980666
182,480000,1346000
183,480000,1568000
184,360000,345000
185,360000,345000
186,980000,236000
187,940000,679000
188,940000,678000
189,1200000,989000
190,1100000,870000
191,380000,190000
192,680000,344444
193,870000,689000
194,320000,344000
195,380000,223000
196,380000,260000
197,380000,320000
198,920000,489000
199,1480000,2200000
200,3200000,3890000
201,2200000,1700000
202,980000,1200000
203,850000,340000
204,4800000,2600000
205,3800000,4800000
206,2800000,5600000
207,1340000,4800000
208,1350000,900000
209,860000,480000
210,2180000,330000
211,1680000,330000
212,980000,680000
213,2100000,3300000
214,6200000,9800000
215,1380000,2200000
216,980000,1890000
217,850000,330000
218,970000,1700000
219,480000,1200000
220,850000,450000
221,420000,200000
222,980000,980000
223,850000,890000
224,580000,550000
225,940000,380000
226,1690000,740000
227,580000,840000
228,580000,840000
229,380000,330000
230,3800000,460000
231,680000,560000
232,620000,890000
233,630000,320000
234,1190000,700000
235,1100000,845000
236,650000,280000
237,520000,456000
238,820000,468000
239,320000,350000
240,280000,245000
241,480000,750000
242,1980000,3689000
243,850000,200000
244,1800000,7500000
245,6580000,7500000
246,3850000,220000
247,4800000,8900000
248,3200000,5000000
249,1800000,6500000
250,850000,750000
251,3500000,12000000
252,2100000,4200000
253,1800000,3400000
254,2890000,6700000
255,850000,4300000
256,1200000,1800000
257,990000,2900000
258,980000,3200000
259,1870000,4700000
260,1350000,900000
261,1800000,890000
262,870000,190000
263,2840000,340000
264,1380000,420000
265,1870000,890000
266,980000,650000
267,2980000,1500000
268,2400000,489000
269,3200000,3465000
270,5800000,6900000
271,2400000,2486000
272,62000000,7300000
273,1280000,1700000
274,1200000,870000
275,950000,220000
276,860000,650000
277,590000,480000
278,870000,287680
279,520000,125000
280,980000,650000
281,1180000,2290000
282,870000,278000
283,850000,440000
284,1890000,1200000
285,1200000,1500000
286,670000,2300000
287,480000,690000
288,950000,750000
289,90000,340000
290,950000,456000
291,1240000,989000
292,580000,556000
293,580000,489000
294,460000,289000
295,4600000,307000
296,850000,220000
297,620000,660000
298,630000,560000
299,1200000,890000
300,1190000,890000
301,580000,222000
302,570000,2340000
303,430000,454000
304,430000,210000
305,520000,207000
306,520000,190000
307,3980000,2345000
308,3790000,3256000
309,2809000,1490000
310,1920000,777000
311,890000,190000
312,3180000,2789000
313,6500000,6890000
314,5200000,7880000
315,3800000,5600000
316,3850000,280000
317,850000,780000
318,3890000,4700000
319,3200000,6800000
320,1900000,6790000
321,9800000,17000000
322,1390000,4700000
323,1200000,3700000
324,1380000,2980777
325,1470000,3780657
326,1580000,466909
327,2200000,3723400
328,1870000,2500000
329,210000,489000
330,280000,489000
331,320000,89000
332,480000,550000
333,9500000,695890
334,3500000,477000
335,420000,247000
336,420000,244900
337,6400000,7600000
338,3800000,2580000
339,980000,3200000
340,3890000,2250000
341,850000,436000
342,920000,890000
343,2800000,3570000
344,3200000,3650000
345,3850000,280000
346,850000,780000
347,1800000,1700000
348,680000,890000
349,420000,980000
350,18300000,4800000
351,32800000,14800000
352,19600000,9800000
353,3200000,3200000
354,3890000,2200000
355,480000,340000
356,720000,990000
357,390000,180000
358,490000,130000
359,380000,250000
360,420000,210000
361,520000,690000
362,3180000,1400000
363,2800000,489000
364,1970000,2900000
365,620000,290000
366,3790000,890000
367,3790000,755000
368,2850000,440000
369,980000,3460000
370,1480000,730000
371,890000,450000
372,16800000,3500000
373,3970000,880000
374,2100000,643000
375,480000,480000
376,7380000,1220000
377,12800000,2200000
378,1280000,976000
379,7800000,900000
380,3280000,890000
381,640000,550000
382,3210000,3890000
383,287000,880000
384,4780000,330000
385,980000,4500000
386,3280000,3900000
387,2980000,1900000
389,87000,659000
390,2980000,995000
391,4870000,2700000
392,865000,197000
393,9870000,3200000
394,8560000,6300000
395,2830000,3600000
396,980000,2200000
397,1800000,1800000
398,3870000,3300000
399,1320000,1900000
400,870000,550000
401,980000,890000
402,360000,440000
403,870000,4300000
404,820000,780000
405,2130000,680000
406,19800000,17000000
407,8700000,19600000
408,4320000,5600000
409,530000,890000
410,810000,2780000
411,6700000,5800000
412,940000,1800000
413,420000,3700000
414,18700000,7800000
415,217800,1700000
416,412000,460000
417,1980000,8700000
418,6180000,1156000
419,4820000,879000
420,2290000,980000
421,1980000,1890000
422,3180000,3700000
423,438000,1200000
424,5840000,4600000
425,480000,450000
426,870000,680000
427,680000,740000
428,387000,230000
429,350000,490000
430,320000,120000
431,6780000,3200000
432,7340000,330000
433,4980000,1700000
434,7600000,2100000
435,1870000,900000
436,870000,550000
437,1870000,2400000
438,640000,1634000
439,3280000,3300000
440,7960000,3933000
441,15920000,3456000
442,280000,1200000
443,380000,890000
444,57800,290000
445,120000,330000
446,180000,300000
447,430000,4500000
448,2180000,900000
449,6300000,3800000
450,3100000,3100000
451,9100000,3100000
452,57800,220000
453,420000,280000
454,910000,289000
455,280000,190000
456,80000,90000
