ITEM,NUMERO DE PARTCIPANTES,DESCRIPCION/TEMAS DE LAS CAPACITACIONES,Unidad,CANTIDAD,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,COMPENSAR,CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR - CUN,ECCOSIS INGENIERIA SAS,ESTRATEGIA CARDINAL SAS,Pontificia Universidad Javeriana,UNIVERSIDAD DE SAN BUENAVENTURA,FUNDACION UNIVERSIDAD DE BOGOTÁ JORGE TADEO LOZANO,UNIVERSIDAD NACIONAL DE COLOMBIA
1,Entre 31 a 50 funcionarios,"Servicio al ciudadano, cultura del buen servicio (principalmente para Regionales) y participación ciudadana",Participantes,50,116000,146369.7479,624000,144000,,180000,200000,115000,92000
2,Entre 51 a 70 funcionarios,"Habilidades blandas (enfoque en liderazgo, comunicación asertiva y resolución de conflictos, inteligencia emocional, trabajo en equipo, comunicación organizacional, conducta social y emocional, paz total, memoria y derechos humanos)",Participantes,70,92700,121092.437,624000,102857.1429,188857.1429,128571.4286,200000,90000,65714.28571
3,Entre 1 a 30  funcionarios,"Capacitación del Acuerdo 001 de 2024 ""Por el cual se establece el Acuerdo Único de la Función Archivística, se definen los criterios técnicos y jurídicos para su implementación en el Estado Colombiano y se fijan otras disposiciones.”",Participantes,30,172818.3333,204621.8487,575000,240000,,300000,200000,170000,153333.3333
4,Entre 1 a 30  funcionarios,Metodologías de medición de la gestión y adecuación y mantenimiento de los sistemas de gestión y supervisión basada en riesgos.,Participantes,30,106000,147647.0588,409000,120000,229440,193333.3333,150000,120000,79333.33333
5,Entre 31 a 50 funcionarios,Actualización en la Ley 2220 de 2022 (Estatuto de Conciliación),Participantes,50,156800,189512.605,836000,216000,,230000,200000,145000,148800
6,Entre 31 a 50 funcionarios,Trámite de la peritación e indicio y  trámite de la etapa de juzgamiento en Derecho Disciplinario y delitos contra la administración pública.,Participantes,50,196800,243579.8319,1050000,288000,,270000,200000,179000,198400
7,Entre 1 a 30  funcionarios,Herramientas de planeación estratégica / Planeación contractual / Planeación en la gestión / Desconocimiento de la Ley 87 de 1993 y desconocimiento de la obligación de  cumplir los Planes de Mejoramiento tanto internos como externos (capacitación en diseño y ejecución de planes de mejoramiento: eficacia y efectividad),Participantes,30,306333.3333,361176.4706,715000,480000,509866.6667,450000,250000,275000,317333.3333
8,Entre 1 a 30  funcionarios,Diplomado: Sistema de Administración de Riesgo de Lavado de Activos y de la Financiación del Terrorismo (SARLAFT),Participantes,30,706666.6667,801344.5378,1547000,1800000,941333.3333,766666.6667,800000,590000,793333.3333
9,Entre 31 a 50 funcionarios,"Diplomado: Logística y Comercio Exterior, agenciamiento marítimo y digitalización portuaria",Participantes,50,437200,513361.3445,1547000,1080000,5626240,460000,800000,370000,476000
10,Entre 1 a 30  funcionarios,Diplomado: Derecho Procesal,Participantes,30,706666.6667,801344.5378,1547000,1800000,,766666.6667,800000,590000,826666.6667
11,Entre 1 a 30  funcionarios,"Diplomado: Proceso administrativo sancionatorio con énfasis en la vigilancia, inspección y control en materia subjetiva; las comunicaciones y las notificaciones. ",Participantes,30,706666.6667,801344.5378,1547000,1800000,,766666.6667,800000,590000,826666.6667
12,Entre 1 a 30  funcionarios,Diplomado: Derecho Internacional Público enfocado en transportes y protección a usuarios y fortalecimiento de habilidades y mejores productos.,Participantes,30,706666.6667,801344.5378,1547000,1800000,,766666.6667,800000,590000,826666.6667
13,Entre 1 a 30  funcionarios,"Herramientas Office 365, Manejo de Excel y Power BI (análisis de datos y elaboración de informes gerenciales)",Participantes,30,306333.3333,361176.4706,1050000,480000,540666.6667,450000,250000,275000,306666.6667
