 item , Dato , Limite Inferior , Limite Superior , desviación , z , diferencia , Promedio 
1," $755,298.20 ",679768.38,793063.11,57686.8529,1.96,113066.2317,792834.6117
2," $2,070,300.00 ",1863270,2173815,158121.7744,1.96,309918.6777,2173188.678
3," $3,400,000.00 ",3060000,3570000,259679.2894,1.96,508971.4072,3568971.407
4," $1,400,000.00 ",1260000,1470000,106926.7662,1.96,209576.4618,1469576.462
5," $870,000.00 ",783000,913500,66447.34758,1.96,130236.8013,913236.8013
6," $204,750.39 ",184275.35,214987.91,15638.07011,1.96,30650.61741,214925.9674
7," $400,000.00 ",360000,420000,30550.50463,1.96,59878.98908,419878.9891
8," $300,000.00 ",270000,315000,22912.87847,1.96,44909.24181,314909.2418
9," $2,800,000.00 ",2520000,2940000,213853.5324,1.96,419152.9236,2939152.924
10," $3,200,000.00 ",2880000,3360000,244404.0371,1.96,479031.9126,3359031.913
11," $750,000.00 ",675000,787500,57282.19619,1.96,112273.1045,787273.1045
12," $2,200,000.00 ",1980000,2310000,168027.7755,1.96,329334.4399,2309334.44
13," $600,000.00 ",540000,630000,45825.75695,1.96,89818.48362,629818.4836
14," $1,000,000.00 ",900000,1050000,76376.26158,1.96,149697.4727,1049697.473
15," $600,000.00 ",540000,630000,45825.75695,1.96,89818.48362,629818.4836
16," $7,700,000.00 ",6930000,8085000,588097.2142,1.96,1152670.54,8082670.54
17," $7,800,000.00 ",7020000,8190000,595734.8403,1.96,1167640.287,8187640.287
18," $800,000.00 ",720000,840000,61101.00927,1.96,119757.9782,839757.9782
19," $1,000,000.00 ",900000,1050000,76376.26158,1.96,149697.4727,1049697.473
20," $1,000,000.00 ",900000,1050000,76376.26158,1.96,149697.4727,1049697.473
21," $200,000.00 ",180000,210000,15275.25232,1.96,29939.49454,209939.4945
22," $900,000.00 ",810000,945000,68738.63542,1.96,134727.7254,944727.7254
23," $2,600,000.00 ",2340000,2730000,198578.2801,1.96,389213.429,2729213.429
24," $450,000.00 ",405000,472500,34369.31771,1.96,67363.86272,472363.8627
25," $3,500,000.00 ",3150000,3675000,267316.9155,1.96,523941.1545,3673941.154
26," $400,000.00 ",360000,420000,30550.50463,1.96,59878.98908,419878.9891
27," $4,500,000.00 ",4050000,4725000,343693.1771,1.96,673638.6272,4723638.627
