ITEM,Cotización1,Cotización2
1,945000,794573.71
2,2835000,2177955.6
3,2396250,3576800
4,1518750,1472800
5,573750,915240
6,238546,215397.41
7,368115,420800
8,348308,315600
9,3252260,2945600
10,3902712,3366400
11,962867,789000
12,2681356,2314400
13,772033,631200
14,1783644,1052000
15,816338,631200
16,7784890,8100400
17,7800577,8205600
18,704704,841600
19,1442044,1052000
20,1142334,1052000
21,231765,210400
22,1040054,946800
23,2846582,2735200
24,501574,473400
25,3805027,3682000
26,383242,420800
27,4724076,4734000
