ID,Cotizacion 1
704,69332.9
389,87000
673,116005.5
703,124150
696,124495.8
688,144700.4
691,146894.8
707,146894.8
697,154700
683,238332.9
693,244823.8
681,253500
687,263760.9
685,276250
700,276250
684,293789.6
677,318272.5
678,331500
692,331500
695,399425
689,424427.9
705,437667.1
702,442000
682,442585
674,470165
489,500000
698,563758
694,568750
706,617500
680,625625
690,630610.5
686,639080
701,639080
669,663000
699,755300
672,974738
670,1038505
675,1118000
671,1251250
676,1436500
110,1800000
679,2396550
111,3200000
393,3200000
593,6800000
388,7860000
106,9800000
